role,She played the role of a doctor in the play.,她在戏剧中扮演医生的角色。
natural,The lake is famous for its natural beauty.,这个湖以其自然美景而闻名。
video,We watched a short video about space.,我们观看了一个关于太空的短视频。
plastic,Please put the plastic bottles in this bin.,请把塑料瓶放进这个垃圾桶。
simple,This question has a simple answer.,这个问题有一个简单的答案。
special,We made a special card for our teacher.,我们为老师制作了一张特别的卡片。
practice,You need more practice to play the piano well.,要弹好钢琴，你需要更多练习。
moment,Please wait a moment outside.,请在外面稍等片刻。
activity,The school activity starts at nine.,学校活动九点开始。
experiment,The experiment showed that plants need light.,这个实验表明植物需要光。
personal,Do not share your personal information online.,不要在网上分享你的个人信息。
understanding,This book gave me a better understanding of nature.,这本书让我对大自然有了更深入的理解。
popular,Basketball is popular among our students.,篮球很受我们学生欢迎。
provide,The school will provide lunch for everyone.,学校将为每个人提供午餐。
order,Please put these pictures in the correct order.,请按正确顺序排列这些图片。
light,The morning light filled the room.,晨光照亮了房间。
progress,She has made great progress in English.,她在英语方面取得了很大进步。
intelligence,The clever dog surprised us with its intelligence.,这只聪明的狗以它的智慧让我们感到惊讶。
amount,Drink a small amount of water before the race.,比赛前喝少量的水。
necessary,It is necessary to wear a helmet when cycling.,骑自行车时戴头盔是必要的。
cause,Heavy rain can cause floods.,大雨可能引发洪水。
once,I visit my grandparents once a week.,我每周看望祖父母一次。
level,The water level rose after the rain.,雨后水位上升了。
effort,Your hard work and effort will bring results.,你的辛勤付出和努力会带来成果。
benefit,Fresh air is a benefit of country life.,新鲜空气是乡村生活的一个好处。
similar,My bag is similar to yours.,我的包和你的很相似。
system,The school has a new computer system.,学校有一套新的计算机系统。
communicate,People use language to communicate with each other.,人们用语言互相交流。
works,We read several works by this writer.,我们读了这位作家的几部作品。
last,The meeting will last for an hour.,会议将持续一个小时。
matter,Your ideas matter to the whole team.,你的想法对整个团队很重要。
introduce,Let me introduce my new classmate.,让我介绍一下我的新同学。
especially,"I like fruit, especially oranges.",我喜欢水果，尤其是橙子。
later,I will call you later this evening.,今晚晚些时候我会给你打电话。
form,Please fill in this form before class.,请在上课前填写这张表格。
active,She is active in school sports.,她积极参加学校的体育活动。
zone,This area is a safe zone for children.,这个区域是儿童安全区。
support,My family always gives me support.,我的家人总是给予我支持。
project,Our science project is about clean water.,我们的科学项目是关于清洁水的。
seem,You seem tired after the long walk.,走了这么久后，你似乎累了。
perhaps,Perhaps we can visit the museum tomorrow.,也许我们明天可以参观博物馆。
protect,Trees help protect the soil from heavy rain.,树木有助于保护土壤免受大雨冲刷。
anxiety,Deep breathing can reduce anxiety.,深呼吸可以减轻焦虑。
learned,The learned professor wrote many books.,那位博学的教授写了许多书。
realize,I did not realize how late it was.,我没有意识到时间已经这么晚了。
pleasure,It was a pleasure to meet your family.,很高兴见到你的家人。
rather,I would rather walk than wait for the bus.,我宁愿步行，也不愿等公交车。
act,We must act quickly to help the injured bird.,我们必须迅速行动，帮助这只受伤的小鸟。
though,"Though it was cold, we still went outside.",虽然天气很冷，我们还是出去了。
present,All students were present at the meeting.,所有学生都出席了会议。
risk,Climbing that wet wall is a serious risk.,攀爬那堵湿滑的墙有很大风险。
goal,My goal is to read twenty books this year.,我的目标是今年读二十本书。
harmful,Too much sugar can be harmful to your teeth.,吃太多糖可能对牙齿有害。
society,Everyone can do something useful for society.,每个人都能为社会做些有益的事。
robot,The robot can carry heavy boxes.,这个机器人能搬运重箱子。
junk,We cleared the old junk out of the garage.,我们清理了车库里的旧废品。
simply,The machine works simply and safely.,这台机器操作简单而且安全。
pressure,She felt pressure before the final exam.,期末考试前她感到了压力。
least,This small room gets the least sunlight.,这个小房间得到的阳光最少。
professor,The professor gave a talk about space.,教授做了一场关于太空的讲座。
challenge,Learning to swim was a challenge for me.,学习游泳对我来说是一项挑战。
prefer,I prefer tea to coffee.,比起咖啡，我更喜欢茶。
method,This method makes the problem easier to solve.,这个方法使问题更容易解决。
motivation,Her dream gives her motivation to work hard.,她的梦想给了她努力学习的动力。
communication,Good communication can prevent many problems.,良好的沟通可以避免许多问题。
within,Please finish the test within thirty minutes.,请在三十分钟内完成测试。
type,I can type forty words a minute.,我一分钟能打四十个单词。
depend,Children depend on adults for care and safety.,孩子们依靠成年人获得照顾和安全保障。
sound,I heard a strange sound outside.,我听到外面有一个奇怪的声音。
scientific,We need scientific facts to support the idea.,我们需要科学事实来支持这个观点。
feedback,The teacher gave me helpful feedback on my writing.,老师对我的作文给出了有帮助的反馈。
serious,Air pollution is a serious problem.,空气污染是一个严重的问题。
step,The first step is to make a plan.,第一步是制定计划。
failure,One failure should not stop you from trying again.,一次失败不应该阻止你再次尝试。
notice,Did you notice the new picture on the wall?,你注意到墙上的新画了吗？
speed,The car reduced its speed near the school.,汽车在学校附近降低了速度。
perfect,The weather is perfect for a picnic.,这天气非常适合野餐。
product,This product is made from recycled paper.,这个产品由再生纸制成。
store,There is a small store near my home.,我家附近有一家小商店。
single,There was not a single cloud in the sky.,天空中一朵云也没有。
weight,Exercise can help you keep a healthy weight.,锻炼可以帮助你保持健康的体重。
public,The new library is open to the public.,新图书馆向公众开放。
state,The patient is in a stable state now.,病人现在处于稳定状态。
consider,Please consider all the choices before deciding.,决定前请考虑所有选择。
company,My aunt works for a small company.,我姑姑在一家小公司工作。
produce,These farms produce fresh milk.,这些农场生产鲜牛奶。
tool,A knife is a useful tool.,刀是一种有用的工具。
record,Please record your answer in the notebook.,请把你的答案记录在笔记本上。
design,She drew a simple design for the school garden.,她为学校花园画了一份简单的设计图。
recognize,I can recognize him by his voice.,我能通过声音认出他。
compare,Let us compare these two pictures.,让我们比较一下这两幅图。
quality,This bag is small but its quality is good.,这个包虽小但质量很好。
shape,The lake has the shape of a heart.,这个湖呈心形。
model,Tom made a model of the new bridge.,汤姆做了一个新桥模型。
receive,You will receive a reply tomorrow.,你明天会收到回复。
challenging,Climbing the hill was challenging but fun.,爬这座山很有挑战性但也很有趣。
climate,The island has a warm climate.,这座岛气候温暖。
decision,It was a difficult decision for Amy.,这对埃米来说是个艰难的决定。
course,I took a short art course last summer.,去年夏天我上了一门短期美术课。
violent,The violent storm broke several windows.,猛烈的暴风雨打破了几扇窗户。
perform,Our class will perform a play tonight.,我们班今晚将表演一出戏。
remind,Please remind me to bring my camera.,请提醒我带相机。
percent,About 70 percent of the students walk to school.,大约百分之七十的学生步行上学。
background,There are green hills in the background.,背景中有青山。
million,The city has over one million people.,这座城市有一百多万人。
quite,The math test was quite easy.,这次数学考试十分简单。
attitude,A positive attitude can help you succeed.,积极的态度能帮助你成功。
connection,There is a close connection between sleep and health.,睡眠与健康之间有密切联系。
relationship,Lily has a good relationship with her parents.,莉莉和父母关系很好。
require,This job will require patience.,这项工作需要耐心。
correct,Your answer is correct.,你的答案是正确的。
willing,Jack is willing to help his classmates.,杰克愿意帮助同学。
recent,Recent rain has filled the river.,最近的降雨使河水上涨了。
image,The mirror showed a clear image of my face.,镜子清楚地映出了我的脸。
competition,Our team won the singing competition.,我们队赢得了歌唱比赛。
musical,My sister is very musical and plays the piano well.,我妹妹很有音乐天赋，钢琴弹得很好。
prepare,We need to prepare for the English test.,我们需要为英语考试做准备。
proper,Wear proper shoes for the long walk.,长途步行要穿合适的鞋。
modern,This modern library has many computers.,这座现代化图书馆有许多电脑。
potential,The coach saw great potential in the young runner.,教练看到了这名年轻跑步者的巨大潜力。
fall,Leaves turn yellow in the fall.,树叶在秋季变黄。
express,Music can help us express our feelings.,音乐能帮助我们表达感情。
local,We bought fresh fruit at the local market.,我们在当地市场买了新鲜水果。
fail,Do not be afraid to fail.,不要害怕失败。
harm,Too much sun can harm your skin.,过多日晒会伤害皮肤。
view,We had a wonderful view of the sea.,我们看到了美丽的海景。
therefore,It was raining; therefore we stayed inside.,天下着雨，因此我们待在室内。
traditional,My grandma taught me a traditional song.,奶奶教了我一首传统歌曲。
rope,They tied the boat to a tree with a rope.,他们用绳子把船系在树上。
literature,She enjoys reading Chinese literature.,她喜欢阅读中国文学作品。
upset,Ben was upset about losing the game.,本因输掉比赛而难过。
exactly,The bus arrived at exactly nine o'clock.,公共汽车正好九点到达。
balance,She lost her balance and fell.,她失去平衡摔倒了。
management,Good time management makes study easier.,良好的时间管理让学习更轻松。
choice,You have a choice between tea and juice.,你可以在茶和果汁之间选择。
library,I borrowed two books from the library.,我从图书馆借了两本书。
loss,The fire caused a great loss to the farm.,大火给农场造成了巨大损失。
beneficial,Daily exercise is beneficial to our health.,每天锻炼有益于健康。
office,My mother works in an office downtown.,我妈妈在市中心的一间办公室工作。
forward,He stepped forward to answer the question.,他走上前回答问题。
list,I made a list of things to buy.,我列了一张购物清单。
sign,The red sign tells drivers to stop.,这个红色标志提醒司机停车。
college,My brother hopes to go to college next year.,我哥哥希望明年上大学。
saying,There is an old saying about the value of time.,有一句关于时间价值的老话。
fake,The police found that the painting was fake.,警方发现这幅画是假的。
ocean,Many kinds of fish live in the ocean.,许多种鱼生活在海洋里。
check,Please check your answers before you finish.,完成前请检查你的答案。
period,China changed greatly during this period.,中国在这一时期发生了巨大变化。
production,The factory increased car production this year.,这家工厂今年提高了汽车产量。
theory,We tested the theory with a simple experiment.,我们用一个简单的实验验证了这个理论。
discover,Scientists may discover new life in the deep sea.,科学家可能会在深海发现新的生命。
spread,Dark clouds spread across the sky.,乌云在天空中蔓延开来。
imagine,Can you imagine life without electricity?,你能想象没有电的生活吗？
market,My father buys vegetables at the morning market.,我爸爸在早市买蔬菜。
talent,Mia has a talent for drawing.,米娅有绘画天赋。
responsibility,Keeping the classroom clean is our responsibility.,保持教室整洁是我们的责任。
field,The cows are eating grass in the field.,奶牛正在田野里吃草。
suffer,Plants suffer when they get too little water.,植物缺水时会受损。
flash,A flash of lightning lit up the sky.,一道闪电照亮了天空。
achievement,Finishing the long race was a great achievement.,完成长跑是一项了不起的成就。
carbon,All living things contain carbon.,所有生物都含有碳。
opinion,In my opinion this plan is better.,在我看来，这个计划更好。
medical,The injured boy needs medical help.,受伤的男孩需要医疗救助。
material,Wood is a common building material.,木材是一种常见的建筑材料。
normal,It is normal to feel nervous before a test.,考试前感到紧张是正常的。
cancer,Smoking can increase the risk of cancer.,吸烟会增加患癌症的风险。
journal,I write about each school day in my journal.,我在日记中记录每个上学日。
surface,The surface of the lake was smooth.,湖面很平静。
garbage,Please put the garbage in this bin.,请把垃圾放进这个垃圾桶。
late,Kevin was late for school this morning.,凯文今天早上上学迟到了。
valuable,This old watch is very valuable.,这块旧手表很值钱。
mistake,I made a mistake in the last question.,我在最后一道题中犯了错误。
describe,Can you describe the missing dog?,你能描述一下那只走失的狗吗？
prove,The photo can prove that he was there.,这张照片能证明他当时在那里。
various,The shop sells various kinds of bread.,这家商店出售各种面包。
grade,Lucy got a high grade in science.,露西的科学课得了高分。
function,The main function of roots is to take in water.,根的主要功能是吸收水分。
courage,It took courage to speak in front of the whole school.,在全校师生面前讲话需要勇气。
emergency,Call this number in an emergency.,遇到紧急情况请拨打这个号码。
evidence,The muddy shoes were evidence that Sam went outside.,沾泥的鞋子证明萨姆出过门。
sensitive,Be sensitive to the feelings of others.,要体谅他人的感受。
handwriting,Her handwriting is neat and easy to read.,她的字迹工整易读。
gratitude,We showed our gratitude with a thank-you card.,我们用一张感谢卡表达感激之情。
pollution,Air pollution is a serious problem in many cities.,空气污染是许多城市的严重问题。
lie,I like to lie on the grass and watch the clouds.,我喜欢躺在草地上看云。
tend,Young children tend to ask many questions.,小孩子往往会问很多问题。
general,The teacher gave us a general idea of the project.,老师向我们介绍了这个项目的大致情况。
case,In this case we should ask an adult for help.,在这种情况下，我们应该向成年人求助。
search,The police began a search for the lost child.,警方开始搜寻走失的孩子。
hug,I always hug my grandma when I see her.,我每次见到奶奶都会拥抱她。
museum,We saw ancient bowls at the museum.,我们在博物馆看到了古代的碗。
reality,Her dream of becoming a pilot became reality.,她当飞行员的梦想变成了现实。
respond,Please respond to my question clearly.,请清楚地回答我的问题。
organization,This organization provides books for poor children.,这个组织为贫困儿童提供书籍。
article,I read an interesting article about space.,我读了一篇关于太空的有趣文章。
ancient,People built this ancient wall thousands of years ago.,人们几千年前建造了这堵古老的城墙。
fight,The two boys had a fight after school.,两个男孩放学后打了一架。
connect,This bridge will connect the two villages.,这座桥将连接两个村庄。
air,Open the window and let in some fresh air.,打开窗户让新鲜空气进来。
tiny,A tiny bird landed on the branch.,一只小鸟落在树枝上。
brush,Remember to brush your teeth twice a day.,记得每天刷两次牙。
gravity,Gravity pulls everything toward the ground.,重力把一切物体拉向地面。
event,The sports day is an important school event.,运动会是学校的一项重要活动。
basic,Every student should know these basic rules.,每个学生都应该知道这些基本规则。
worldwide,The song became popular worldwide.,这首歌风靡全球。
conversation,We had a long conversation about our future.,我们就未来进行了一次长谈。
expensive,That coat is too expensive for me.,那件外套对我来说太贵了。
addition,The new classroom is a useful addition to our school.,新教室是学校新增的实用设施。
besides,Besides English she also studies French.,除了英语，她还学法语。
continue,The rain may continue until evening.,这场雨可能会持续到晚上。
add,Please add some water to the soup.,请往汤里加些水。
mobile,The small table is mobile and easy to move.,这张小桌子可移动，很容易搬动。
terrible,We had terrible weather during the trip.,旅行期间天气糟透了。
gym,We play basketball in the school gym.,我们在学校体育馆打篮球。
stand,There is a fruit stand near the station.,车站附近有一个水果摊。
expert,We asked an expert to repair the old clock.,我们请了一位专家修理这座旧钟。
line,Please stand in a line outside the classroom.,请在教室外排成一行。
treat,We should treat everyone with respect.,我们应该尊重地对待每个人。
productive,I had a productive afternoon and finished all my homework.,我度过了一个高效的下午，完成了所有作业。
throughout,It rained throughout the night.,雨下了一整夜。
average,The average age of the players is fourteen.,这些运动员的平均年龄是十四岁。
electricity,The storm cut off electricity in our village.,暴风雨使我们村停了电。
instrument,The piano is my favorite musical instrument.,钢琴是我最喜欢的乐器。
truth,Please tell me the truth.,请告诉我真相。
protein,Eggs are a good source of protein.,鸡蛋是蛋白质的良好来源。
native,The panda is native to China.,大熊猫原产于中国。
draft,I finished the first draft of my story.,我完成了故事的初稿。
strengthen,Regular exercise can strengthen your body.,经常锻炼可以增强体质。
bat,He hit the ball hard with the bat.,他用球棒用力击球。
industry,The car industry provides many jobs.,汽车产业提供了许多工作岗位。
surprise,The birthday party was a wonderful surprise.,生日聚会是一个美好的惊喜。
planet,Earth is the third planet from the sun.,地球是距离太阳第三近的行星。
website,Our school website has the latest news.,我们学校的网站上有最新消息。
peer,Lin asked a peer for help with the homework.,林向一位同龄人请教作业。
bored,I felt bored during the long wait.,漫长的等待让我感到无聊。
boring,The movie was so boring that I fell asleep.,这部电影太无聊了，我都睡着了。
satisfaction,She smiled with satisfaction after finishing the painting.,完成这幅画后，她满意地笑了。
expect,We expect the bus to arrive at eight.,我们预计公交车八点到达。
regular,Regular exercise can keep your body strong.,经常锻炼能让你的身体保持强壮。
affect,Loud noise can affect your sleep.,噪声会影响你的睡眠。
scientist,The scientist studies plants in the rainforest.,这位科学家研究雨林中的植物。
strength,It took all my strength to move the heavy box.,我用尽全身力气才搬动那个重箱子。
push,Please push the door to open it.,请推门把它打开。
height,The height of this wall is two meters.,这堵墙的高度是两米。
reward,Dad gave me a book as a reward.,爸爸送给我一本书作为奖励。
yawn,I always yawn when I feel sleepy.,我困倦时总会打哈欠。
force,Do not force your little brother to share his toy.,不要强迫弟弟分享他的玩具。
journey,Our train journey took three hours.,我们的火车旅程持续了三个小时。
television,My grandparents watch the news on television every evening.,我的祖父母每天晚上看电视新闻。
pleasant,We had a pleasant walk by the lake.,我们在湖边愉快地散了步。
population,The population of this town is growing quickly.,这个城镇的人口正在快速增长。
message,I left a message for you on the table.,我在桌上给你留了口信。
opposite,The bank is opposite the post office.,银行在邮局对面。
raise,Please raise your hand before you speak.,发言前请举手。
biological,Every child has biological needs such as food and sleep.,每个孩子都有食物和睡眠等生理需求。
collect,We collect old bottles for recycling.,我们收集旧瓶子用于回收。
medicine,Take this medicine after dinner.,晚饭后服用这种药。
prevent,Washing your hands can prevent illness.,洗手可以预防疾病。
manage,Can you manage this project by yourself?,你能独自管理这个项目吗？
psychology,My sister hopes to study psychology at college.,我姐姐希望在大学学习心理学。
figure,Please write the correct figure in each box.,请在每个方框里填入正确的数字。
practical,This book gives practical advice on saving water.,这本书提供了节约用水的实用建议。
succeed,You will succeed if you keep trying.,如果坚持尝试，你会成功的。
wonder,I wonder why the sky turns red at sunset.,我想知道为什么日落时天空会变红。
complete,Please complete the form before Friday.,请在星期五前填完这张表。
speech,Anna gave a short speech about friendship.,安娜做了一个关于友谊的简短演讲。
cancel,Heavy rain may cancel the football match.,大雨可能会导致足球赛取消。
explore,We went into the forest to explore its hidden paths.,我们走进森林探索其中隐秘的小路。
train,The train leaves the station at noon.,火车中午驶离车站。
degree,The temperature rose by one degree.,温度升高了一度。
adapt,It took me a month to adapt to my new school.,我花了一个月适应新学校。
stick,Use this glue to stick the picture to the card.,用这种胶水把图片粘到卡片上。
lab,We wore safety glasses in the science lab.,我们在科学实验室里戴了护目镜。
convenient,Online shopping is convenient for busy people.,网上购物对忙碌的人来说很方便。
guide,Our guide showed us around the old city.,导游带我们参观了这座古城。
familiar,Her voice sounds familiar to me.,她的声音我听起来很熟悉。
fit,These shoes fit me perfectly.,这双鞋非常合我的脚。
confident,Leo felt confident before the math test.,利奥在数学考试前很自信。
lunch,We usually have lunch at school.,我们通常在学校吃午饭。
cost,The new bike will cost about five hundred yuan.,这辆新自行车大约要花五百元。
latest,Have you read the latest school news?,你看过学校的最新消息了吗？
movement,The dancer's movement was smooth and graceful.,这位舞者的动作流畅而优美。
advantage,One advantage of cycling is that it keeps you fit.,骑自行车的一个好处是能让你保持健康。
alive,The fish was still alive when we found it.,我们发现这条鱼时，它还活着。
government,The government plans to build a new hospital.,政府计划建一所新医院。
promote,The school uses posters to promote healthy eating.,学校用海报促进健康饮食。
interact,Games help young children interact with one another.,游戏帮助幼儿彼此互动。
chemical,The teacher warned us not to touch the chemical.,老师警告我们不要触碰这种化学品。
signal,The red light is a signal to stop.,红灯是停车的信号。
anxious,Mum felt anxious when I came home late.,我很晚回家时，妈妈很担心。
desire,He has a strong desire to help other people.,他有帮助他人的强烈愿望。
immediate,The injured boy needed immediate help.,那个受伤的男孩需要立即得到帮助。
discovery,The discovery of the cave excited everyone.,这个洞穴的发现让所有人都很兴奋。
separate,Please keep raw meat separate from other food.,请把生肉与其他食物分开放。
none,None of the students were late today.,今天没有一个学生迟到。
century,This bridge was built over a century ago.,这座桥建于一个多世纪前。
generation,This story has passed from one generation to the next.,这个故事代代相传。
explanation,His clear explanation helped me understand the rule.,他清楚的解释帮助我理解了这条规则。
fair,Our teacher gave everyone a fair chance.,老师给了每个人公平的机会。
gradually,The dark clouds gradually disappeared.,乌云逐渐消散了。
exposure,Long exposure to loud noise can harm your ears.,长时间处于噪声中会损伤耳朵。
leading,She is a leading doctor in the city.,她是这座城市首屈一指的医生。
passive,Do not be passive when your team needs ideas.,团队需要想法时，不要太被动。
remain,Please remain quiet during the test.,考试期间请保持安静。
gain,You can gain useful skills from this course.,你可以从这门课程中学到实用技能。
extra,I need extra time to finish the project.,我需要额外的时间完成这个项目。
fine,I feel fine after a good night's sleep.,好好睡了一晚后，我感觉很好。
wisdom,Grandpa shared his wisdom with the whole family.,爷爷把他的智慧分享给全家人。
behave,Please behave politely at the dinner table.,在餐桌旁请举止有礼。
ban,Our school has a ban on smoking.,我们学校禁止吸烟。
unusual,It is unusual to see snow here in April.,这里四月下雪很不寻常。
boost,A healthy breakfast can boost your energy.,健康的早餐可以补充你的能量。
page,Turn to page twenty and read the story.,翻到第二十页并阅读这个故事。
curious,The curious child looked inside the box.,那个好奇的孩子朝盒子里看。
extreme,The runners had to stop because of the extreme heat.,由于天气极其炎热，跑步者不得不停下来。
distance,We could see the mountains in the distance.,我们能看见远处的群山。
pocket,I found a coin in my pocket.,我在口袋里发现了一枚硬币。
ecology,Students are learning how pollution affects local ecology.,学生们正在学习污染如何影响当地生态。
complex,This math problem looks complex at first.,这道数学题乍看起来很复杂。
billion,Over a billion people use this app.,超过十亿人使用这个应用程序。
relax,I listen to soft music to relax.,我听轻柔的音乐来放松。
fresh,We bought fresh bread from the bakery.,我们从面包店买了新鲜面包。
variety,The market sells a variety of fruits.,市场出售各种各样的水果。
treatment,The patient needs treatment for his injured knee.,这位病人的膝伤需要治疗。
feed,Remember to feed the cat before school.,上学前记得喂猫。
access,Every student has access to the school library.,每名学生都可以使用学校图书馆。
upon,Once upon a time there lived a kind king.,从前有一位善良的国王。
decrease,The number of wild pandas may decrease without protection.,如果没有保护，野生大熊猫的数量可能会减少。
draw,I like to draw animals in my notebook.,我喜欢在笔记本里画动物。
measure,Use this ruler to measure the desk.,用这把尺子测量书桌。
nutrition,Milk provides good nutrition for growing children.,牛奶为成长中的儿童提供良好营养。
skipping,Mia brought a skipping rope to the playground.,米娅带了一根跳绳到操场。
actual,The actual cost was lower than we expected.,实际花费比我们预想的低。
turning,Take the first turning on your left.,在第一个拐弯处向左转。
excellent,You did an excellent job on the project.,你出色地完成了这个项目。
invention,The telephone was an important invention.,电话是一项重要的发明。
lack,The plants died from a lack of water.,这些植物因缺水而枯死。
ahead,Go ahead and I will follow you.,你先往前走，我会跟着你。
lecture,We attended a lecture about space travel.,我们听了一场关于太空旅行的讲座。
leader,A good leader listens to every team member.,好的领导者会倾听每位团队成员的意见。
score,Our team needs one more goal to score a win.,我们队还需要一个进球才能赢得比赛。
unknown,The cause of the strange sound is still unknown.,奇怪声响的原因仍然不明。
limit,Parents should limit children's screen time.,父母应该限制孩子使用屏幕的时间。
individual,Each individual can help protect the environment.,每个人都能为保护环境出力。
include,The price will include breakfast and dinner.,这个价格将包括早餐和晚餐。
appearance,Do not judge a person only by appearance.,不要只凭外表判断一个人。
damage,The storm caused serious damage to the roof.,暴风雨对屋顶造成了严重破坏。
length,We measured the length of the classroom.,我们测量了教室的长度。
identity,The police checked his identity at the gate.,警察在门口核实了他的身份。
temperature,The temperature may fall below zero tonight.,今晚气温可能降到零度以下。
cube,Put one ice cube into the glass.,往玻璃杯里放一块冰。
brand,This local brand makes good sports shoes.,这个本土品牌生产优质运动鞋。
vocabulary,Reading every day can improve your vocabulary.,每天阅读可以扩大你的词汇量。
birdcage,The birdcage stood beside the window.,鸟笼放在窗户旁边。
organize,We will organize a book sale next week.,我们下周将组织一次图书义卖。
nervous,I always feel nervous before speaking in public.,我在公开讲话前总会感到紧张。
network,The computer network connects every classroom.,计算机网络连接着每间教室。
unable,Tom was unable to open the locked door.,汤姆无法打开锁着的门。
possibility,There is a possibility of rain this afternoon.,今天下午有可能下雨。
clothing,Warm clothing is necessary in winter.,冬天需要穿保暖衣物。
gift,This watch was a birthday gift from my aunt.,这块手表是姑姑送我的生日礼物。
rate,The doctor checked my heart rate.,医生检查了我的心率。
volunteer,I work as a volunteer at the animal center.,我在动物救助中心做志愿者。
spring,Many flowers open in spring.,许多花在春天开放。
association,Our school has an association for young artists.,我们学校有一个青年艺术家社团。
apart,The two villages are five kilometers apart.,这两个村庄相距五公里。
excuse,Being tired is no excuse for being rude.,疲倦不是无礼的借口。
worth,This old castle is worth visiting.,这座古城堡值得参观。
strange,I heard a strange noise outside my window.,我听到窗外有奇怪的声音。
reasonable,The shop sells good shoes at a reasonable price.,这家商店以合理的价格出售优质鞋子。
unlike,"Unlike his brother, Sam enjoys cooking.",萨姆和哥哥不同，他喜欢做饭。
exist,Some animals can exist only in warm places.,有些动物只能在温暖的地方生存。
trustworthy,A trustworthy friend always keeps a promise.,值得信赖的朋友总会信守承诺。
international,Our city will host an international music festival.,我们的城市将举办一场国际音乐节。
software,This software helps me edit photos.,这个软件帮助我编辑照片。
keyboard,There is dust under the computer keyboard.,电脑键盘下面有灰尘。
hardly,I could hardly hear her in the noisy room.,房间里太吵，我几乎听不见她说话。
suffering,The medicine reduced the patient's suffering.,这种药减轻了病人的痛苦。
